"Notes"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	"UCD - ICD Sub-Chapter"	"UCD - ICD Sub-Chapter Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Pectus excavatum"	"Q67.6"	37	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Pectus carinatum"	"Q67.7"	8	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other congenital deformities of chest"	"Q67.8"	113	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital deformity of sternocleidomastoid muscle"	"Q68.0"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital deformity of hand"	"Q68.1"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital deformity of knee"	"Q68.2"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital bowing of femur"	"Q68.3"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital bowing of tibia and fibula"	"Q68.4"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital bowing of long bones of leg, unspecified"	"Q68.5"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other specified congenital musculoskeletal deformities"	"Q68.8"	238	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Accessory finger(s)"	"Q69.0"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Accessory thumb(s)"	"Q69.1"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Accessory toe(s)"	"Q69.2"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Polydactyly, unspecified"	"Q69.9"	9	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Fused fingers"	"Q70.0"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Webbed fingers"	"Q70.1"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Fused toes"	"Q70.2"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Webbed toes"	"Q70.3"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Polysyndactyly"	"Q70.4"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Syndactyly, unspecified"	"Q70.9"	2	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital complete absence of upper limb(s)"	"Q71.0"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital absence of upper arm and forearm with hand present"	"Q71.1"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital absence of both forearm and hand"	"Q71.2"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital absence of hand and finger(s)"	"Q71.3"	2	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Longitudinal reduction defect of radius"	"Q71.4"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Longitudinal reduction defect of ulna"	"Q71.5"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Lobster-claw hand"	"Q71.6"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other reduction defects of upper limb(s)"	"Q71.8"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Reduction defect of upper limb, unspecified"	"Q71.9"	2	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital complete absence of lower limb(s)"	"Q72.0"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital absence of thigh and lower leg with foot present"	"Q72.1"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital absence of both lower leg and foot"	"Q72.2"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital absence of foot and toe(s)"	"Q72.3"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Longitudinal reduction defect of femur"	"Q72.4"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Longitudinal reduction defect of tibia"	"Q72.5"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Longitudinal reduction defect of fibula"	"Q72.6"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Split foot"	"Q72.7"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other reduction defects of lower limb(s)"	"Q72.8"	3	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Reduction defect of lower limb, unspecified"	"Q72.9"	2	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital absence of unspecified limb(s)"	"Q73.0"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Phocomelia, unspecified limb(s)"	"Q73.1"	5	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other reduction defects of unspecified limb(s)"	"Q73.8"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other congenital malformations of upper limb(s), including shoulder girdle"	"Q74.0"	5	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital malformation of knee"	"Q74.1"	4	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other congenital malformations of lower limb(s), including pelvic girdle"	"Q74.2"	15	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Arthrogryposis multiplex congenita"	"Q74.3"	89	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other specified congenital malformations of limb(s)"	"Q74.8"	22	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Unspecified congenital malformation of limb(s)"	"Q74.9"	23	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Craniosynostosis"	"Q75.0"	50	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Craniofacial dysostosis"	"Q75.1"	31	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Hypertelorism"	"Q75.2"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Macrocephaly"	"Q75.3"	27	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Mandibulofacial dysostosis"	"Q75.4"	54	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Oculomandibular dysostosis"	"Q75.5"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other specified congenital malformations of skull and face bones"	"Q75.8"	38	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital malformation of skull and face bones, unspecified"	"Q75.9"	87	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Spina bifida occulta"	"Q76.0"	9	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Klippel-Feil syndrome"	"Q76.1"	33	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital spondylolisthesis"	"Q76.2"	3	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital scoliosis due to congenital bony malformation"	"Q76.3"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other congenital malformations of spine, not associated with scoliosis"	"Q76.4"	94	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Cervical rib"	"Q76.5"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other congenital malformations of ribs"	"Q76.6"	21	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital malformation of sternum"	"Q76.7"	3	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other congenital malformations of bony thorax"	"Q76.8"	2	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital malformation of bony thorax, unspecified"	"Q76.9"	4	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Achondrogenesis"	"Q77.0"	62	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Thanatophoric short stature"	"Q77.1"	600	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Short rib syndrome"	"Q77.2"	194	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Chondrodysplasia punctata"	"Q77.3"	74	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Achondroplasia"	"Q77.4"	141	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Dystrophic dysplasia"	"Q77.5"	2	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Chondroectodermal dysplasia"	"Q77.6"	23	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Spondyloepiphyseal dysplasia"	"Q77.7"	21	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other osteochondrodysplasia with defects of growth of tubular bones and spine"	"Q77.8"	10	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Osteochondrodysplasia with defects of growth of tubular bones and spine, unspecified"	"Q77.9"	2	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Osteogenesis imperfecta"	"Q78.0"	922	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Polyostotic fibrous dysplasia"	"Q78.1"	26	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Osteopetrosis"	"Q78.2"	124	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Progressive diaphyseal dysplasia"	"Q78.3"	6	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Enchondromatosis"	"Q78.4"	7	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Metaphyseal dysplasia"	"Q78.5"	5	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Multiple congenital exostoses"	"Q78.6"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other specified osteochondrodysplasias"	"Q78.8"	20	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Osteochondrodysplasia, unspecified"	"Q78.9"	761	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital diaphragmatic hernia"	"Q79.0"	3939	4791200056	0.1
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other congenital malformations of diaphragm"	"Q79.1"	108	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Exomphalos"	"Q79.2"	548	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Gastroschisis"	"Q79.3"	675	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Prune belly syndrome"	"Q79.4"	171	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other congenital malformations of abdominal wall"	"Q79.5"	152	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Ehlers-Danlos syndrome"	"Q79.6"	263	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Other congenital malformations of musculoskeletal system"	"Q79.8"	175	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	"Congenital malformation of musculoskeletal system, unspecified"	"Q79.9"	93	4791200056	0.0
"Total"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"			10432	4791200056	0.2
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Ichthyosis vulgaris"	"Q80.0"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"X-linked ichthyosis"	"Q80.1"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Lamellar ichthyosis"	"Q80.2"	5	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Congenital bullous ichthyosiform erythroderma"	"Q80.3"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Harlequin fetus"	"Q80.4"	24	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Other congenital ichthyosis"	"Q80.8"	5	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Congenital ichthyosis, unspecified"	"Q80.9"	30	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Epidermolysis bullosa simplex"	"Q81.0"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Epidermolysis bullosa letalis"	"Q81.1"	27	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Epidermolysis bullosa dystrophica"	"Q81.2"	19	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Other epidermolysis bullosa"	"Q81.8"	8	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Epidermolysis bullosa, unspecified"	"Q81.9"	266	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Hereditary lymphoedema"	"Q82.0"	36	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Xeroderma pigmentosum"	"Q82.1"	6	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Mastocytosis"	"Q82.2"	241	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Incontinentia pigmenti"	"Q82.3"	10	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Ectodermal dysplasia (anhidrotic)"	"Q82.4"	15	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Congenital non-neoplastic naevus"	"Q82.5"	5	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Other specified congenital malformations of skin"	"Q82.8"	107	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Congenital malformation of skin, unspecified"	"Q82.9"	5	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Congenital absence of breast with absent nipple"	"Q83.0"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Accessory breast"	"Q83.1"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Absent nipple"	"Q83.2"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Accessory nipple"	"Q83.3"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Other congenital malformations of breast"	"Q83.8"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Congenital malformation of breast, unspecified"	"Q83.9"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Congenital alopecia"	"Q84.0"	1	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Congenital morphological disturbances of hair, not elsewhere classified"	"Q84.1"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Other congenital malformations of hair"	"Q84.2"	3	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Anonychia"	"Q84.3"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Congenital leukonychia"	"Q84.4"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Enlarged and hypertrophic nails"	"Q84.5"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Other congenital malformations of nails"	"Q84.6"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Other specified congenital malformations of integument"	"Q84.8"	4	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Congenital malformation of integument, unspecified"	"Q84.9"	0	4791200056	Unreliable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Neurofibromatosis (nonmalignant)"	"Q85.0"	1564	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Tuberous sclerosis"	"Q85.1"	536	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Other phakomatoses, not elsewhere classified"	"Q85.8"	279	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Phakomatosis, unspecified"	"Q85.9"	41	4791200056	0.0
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	"Fetal alcohol syndrome (dysmorphic)"	"Q86.0"	87	4791200056	0.0
